video_id,title,description_length,publish_date,category_id,tags_count,view_count,like_count,comment_count,duration_sec,thumbnail_brightness,face_count,channel_title,subscriber_count,channel_country,upload_hour,upload_day,days_since_upload,est_views_7d,est_views_30d
K-w04FG6eyI,Purna Rai & Dajubhaiharu - Sparsha Sangeet,1421,2024-07-06T16:34:40Z,10,0,38779878,416345,18599,464,79.03811535493827,1,Purna Rai,518000,NP,16,Saturday,361,751964,3222704
7uOq9zWTC5g,Purna Rai-Mann cha?,29,2024-04-17T11:18:01Z,10,0,1831151,0,1125,181,122.05627700617283,0,Purna Rai,518000,NP,11,Wednesday,441,29065,124568
sggZZXZkaDc,Purna Rai & Dajubhaiharu-Paribhasa,1269,2024-03-29T12:10:16Z,10,0,3612908,45699,1316,356,27.218032407407406,0,Purna Rai,518000,NP,12,Friday,460,54979,235624
iTSmKz9EoYo,बादल,23,2024-03-01T12:36:54Z,10,0,266651,0,458,332,72.59324266975308,0,Purna Rai,518000,NP,12,Friday,488,3824,16392
KfIo1E5VFws,Purna Rai - Swarga (Raw),109,2023-12-29T11:35:54Z,10,0,205354,9026,243,138,27.29132523148148,0,Purna Rai,518000,NP,11,Friday,551,2608,11180
9bd2nvAKyMc,Purna Rai - Kalo/Seto (official music video),992,2023-11-01T15:43:58Z,10,0,43646060,284262,5397,274,75.50526427469136,1,Purna Rai,518000,NP,15,Wednesday,609,501678,2150052
pYHGmfgNYAQ,Purna Rai - A love letter to Darjeeling,837,2023-10-07T09:15:10Z,10,0,1108888,26964,847,379,65.71246334876543,0,Purna Rai,518000,NP,9,Saturday,634,12243,52471
SAxf5p1bjPo,Dhurwa Tara - Lyrical video,0,2023-09-09T08:31:47Z,10,0,403696,7651,118,368,83.58878665123457,0,Purna Rai,518000,NP,8,Saturday,662,4268,18294
QThx68A9LkU,Purna Rai - Sparsha Sangeet-Raw(Timro maya ९९ vaye mero maya १००),451,2023-08-11T11:15:11Z,10,0,5246868,68597,1298,246,79.12021412037036,2,Purna Rai,518000,NP,11,Friday,691,53152,227794
O5eePfGZWP8,Purna Rai - CHAAK,3506,2023-06-21T13:15:11Z,10,0,949197,23542,572,277,69.75813271604939,0,Purna Rai,518000,NP,13,Wednesday,742,8954,38377
ImnlZsJNI-A,मनका कुरा।,78,2020-12-21T10:18:46Z,10,0,794228,26505,623,150,109.35673804012346,1,Purna Rai,518000,NP,10,Monday,1654,3361,14405
jXz2YH06Epw,Purna Rai - BIRAM,220,2020-04-13T12:45:33Z,10,17,3062965,28911,883,343,33.22255787037037,0,Purna Rai,518000,NP,12,Monday,1906,11249,48210
_q09tp1-L5k,Charka Dheba - Tribute to Bishwo Maka,890,2025-03-21T11:58:27Z,24,0,320645,8064,394,214,32.9082600308642,0,KUMA SAGAR,225000,NP,11,Friday,103,21791,93391
vufspps4erY,"""Oh Champa"" Tarani Janani – Kuma Sagar Official video",4128,2023-10-15T12:15:08Z,24,0,6548013,54119,1037,253,51.73710069444444,1,KUMA SAGAR,225000,NP,12,Sunday,626,73220,313802
at93FMsH3fY,"Kuma Sagar - ""Dharke Jhola"" ft. Suren Lama",289,2024-07-23T07:00:07Z,24,0,741125,13195,272,221,94.8561188271605,0,KUMA SAGAR,225000,NP,7,Tuesday,345,15037,64445
_cap4oWCW-g,"Rukri Ma - Kuma Sagar ll Rudrayani - Shree Kali Devi, Khokana",620,2024-11-18T08:08:28Z,24,0,2262251,25989,739,264,37.33006944444445,0,KUMA SAGAR,225000,NP,8,Monday,226,70069,300298
UYclbkc2_Js,Chahare Sari - Daaya Taya ( Bhagwan sari),635,2024-02-28T02:15:22Z,24,0,3195669,27562,677,370,63.921969521604936,0,KUMA SAGAR,225000,NP,2,Wednesday,491,45559,195254
-nnYpg0wY5o,Ma (Cycle) ll Official Music Video ll Kuma Sagar,2067,2021-11-04T15:15:12Z,24,9,453789,8725,254,344,103.46456404320988,0,KUMA SAGAR,225000,NP,15,Thursday,1336,2377,10189
phSN6iciG94,Chameli Phoola “Champa” ft. Anish Maharjan ll Suren lama Official Video,866,2022-07-07T15:56:24Z,24,6,9424535,53818,734,298,45.382831790123454,0,KUMA SAGAR,225000,NP,15,Thursday,1091,60469,259153
61TqN5amlzQ,MaleGaun ll Kuma Sagar,920,2021-09-03T14:34:21Z,24,9,163029,4568,125,336,100.91253472222222,0,KUMA SAGAR,225000,NP,14,Friday,1398,816,3498
yu40vUYUjVo,SATH DEUNA ll ACOUSTIC ll GHAR MAI RECORD SEASON,153,2020-02-09T08:22:25Z,24,12,77408,2551,115,204,77.62524305555556,0,KUMA SAGAR,225000,NP,8,Sunday,1970,275,1178
gebozQyu-pY,A Mai Re ll Kuma Sagar  ' Hawa Ko Lahar ',439,2023-08-22T11:18:04Z,24,3,17406818,107705,2097,303,89.76171682098766,0,KUMA SAGAR,225000,NP,11,Tuesday,680,179187,767947
S_ExfLW4mfM,BAJEKO BAJANG ll KUMA SAGAR ll GHAR MAI RECORD SEASON,326,2020-04-21T02:54:28Z,24,19,1955165,23218,442,209,54.98394483024691,1,KUMA SAGAR,225000,NP,2,Tuesday,1899,7207,30887
FLbE0IkHLkg,Furfuri - Kuma Sagar,591,2024-06-14T06:07:06Z,24,0,13482137,92799,1472,254,17.212851080246914,0,KUMA SAGAR,225000,NP,6,Friday,384,245768,1053291
QBeoEGW4aXg,Harey - Kuma Sagar  ( Raw ),284,2024-01-06T03:40:15Z,24,0,239605,3954,129,262,67.95793402777778,0,KUMA SAGAR,225000,NP,3,Saturday,544,3083,13213
sCQDGs7W6mE,Kumari Janani - Furfuri ll ll Kuma Sagar And The Khwopa (Jam Session),923,2024-11-23T16:03:55Z,22,0,9154453,87910,1170,362,94.3964525462963,1,Kuma ley Station,89300,,16,Saturday,221,289960,1242685
Bm7EIuztc-g,The Co-incidence Band | Katha Le || Ft.Suyog & Abha || Music Video 2025,742,2025-02-03T13:15:06Z,22,9,6925,476,131,328,17.244363425925926,2,The Coincidence,623,NP,13,Monday,149,325,1394
UqMTGW4tPP8,BARSHIYO JHARI | THE CO-INCIDENCE BAND | OFFICIAL MUSIC VIDEO,1399,2025-06-15T14:00:06Z,10,25,22593,327,85,349,33.389837962962964,0,The Coincidence,623,NP,14,Sunday,17,9303,22593
UC3k11aJnnU,Timi Bhane - Albatross (Barahsinghe Acoustic Sessions),315,2024-04-10T14:15:07Z,10,3,12785511,68730,981,304,33.59073302469136,1,Albatross Nepal - Official,244000,US,14,Wednesday,448,199773,856172
4oR9hq7QQKU,Timi Bhane | ALBATROSS,28,2018-04-24T21:55:03Z,10,1,13546420,96849,1171,329,90.42231095679013,0,Albatross Nepal - Official,244000,US,21,Tuesday,2626,36110,154757
8FkLpm0txkk,Khaseka Tara - Albatross (Barahsinghe Acoustic Sessions),346,2025-02-21T14:15:07Z,10,3,895484,7557,218,311,25.803609182098764,1,Albatross Nepal - Official,244000,US,14,Friday,131,47850,205072
0nP9axR2mVU,Khaseka Tara | ALBATROSS,28,2018-04-24T23:22:13Z,10,1,7268021,56873,1227,302,90.42231095679013,0,Albatross Nepal - Official,244000,US,23,Tuesday,2626,19374,83031
ok9MH86gRK4,Bachau - Albatross (Barahsinghe Acoustic Sessions),328,2024-08-16T14:15:34Z,10,3,1321893,11291,293,267,22.97895447530864,1,Albatross Nepal - Official,244000,US,14,Friday,320,28916,123927
SC5c-AzmCbs,Nischal (FULL VIDEO) | ALBATROSS,17,2018-04-24T19:10:38Z,10,8,6661152,40911,443,244,36.05964891975309,0,Albatross Nepal - Official,244000,US,19,Tuesday,2626,17756,76098
y9YdkP-6d_E,Abhiman | ALBATROSS,17,2018-04-24T18:53:07Z,10,1,5350505,31822,440,384,120.22861689814815,0,Albatross Nepal - Official,244000,US,18,Tuesday,2626,14262,61125
O3F4q8RkI68,Abhiman - Albatross (Barahsinghe Acoustic Sessions),328,2024-07-12T13:15:08Z,10,3,701488,7288,316,386,28.789255401234566,0,Albatross Nepal - Official,244000,US,13,Friday,355,13832,59280
HyDNDgZjDws,Albatross | Bachau | 2020 |,105,2020-07-04T14:15:26Z,10,3,2747738,29205,632,282,117.9980574845679,1,Albatross Nepal - Official,244000,US,14,Saturday,1824,10545,45193
rpk_NmKt7FE,Jhhari ko Raat | ALBATROSS,17,2018-04-24T19:02:59Z,10,1,876238,7846,115,312,120.22861689814815,0,Albatross Nepal - Official,244000,US,19,Tuesday,2626,2335,10010
L4XjEuCPOJY,Bachau | ALBATROSS | Official Video | RAAT Ko RANI,1945,2019-09-22T13:15:09Z,10,34,2544721,58003,2210,293,112.32120949074074,0,Albatross Nepal - Official,244000,US,13,Sunday,2110,8442,36180
8vcdlGvBugo,Intro - Ma Ra Malai | ALBATROSS,11,2018-04-24T17:34:01Z,10,3,1408584,15697,261,373,136.2245775462963,0,Albatross Nepal - Official,244000,US,17,Tuesday,2626,3754,16091
2m4gYL9jmJE,Bhawana | ALBATROSS | Official Music Video | Raat Ko Rani,1222,2022-10-08T04:15:10Z,10,3,935652,26211,886,296,63.342447916666664,0,Albatross Nepal - Official,244000,US,4,Saturday,999,6556,28097
7O8xMiTAmpQ,Nepali,264,2023-05-26T10:00:11Z,10,3,4522,45,2,256,78.04838927469136,0,Albatross - Topic,2640,,10,Friday,768,41,176
UTeep0eR7_c,Asha Nirasha,282,2023-05-26T10:00:30Z,10,3,10514,253,8,253,78.04838927469136,0,Albatross - Topic,2640,,10,Friday,768,95,410
mpuk6hpti34,Hellskitchen 2.0,274,2023-05-26T10:00:42Z,10,3,4031,66,4,307,78.04838927469136,0,Albatross - Topic,2640,,10,Friday,768,36,157
YTxo4ljQyE8,Suchana! Suchana!! Suchana!!!,287,2023-05-26T10:00:21Z,10,3,10161,269,7,260,78.04838927469136,0,Albatross - Topic,2640,,10,Friday,768,92,396
gRTWJ2Jxg4w,Bachau,264,2023-05-26T10:00:26Z,10,3,9451,200,12,259,78.04838927469136,0,Albatross - Topic,2640,,10,Friday,768,86,369
F4LdrfmbPC0,Kaha Janchau,279,2023-05-26T10:00:09Z,10,4,3506,77,7,246,78.04838927469136,0,Albatross - Topic,2640,,10,Friday,768,31,136
dCbHta4Fz1g,Raat Ko Rani,285,2023-05-26T10:00:34Z,10,3,15000,226,9,294,78.04838927469136,0,Albatross - Topic,2640,,10,Friday,768,136,585
dCbHta4Fz1g,Raat Ko Rani,285,2023-05-26T10:00:34Z,10,3,15000,226,9,294,78.04838927469136,0,Albatross - Topic,2640,,10,Friday,768,136,585
